"filename", "language", "Properties", "pip requirements", "Python", "JSON", "Docker", "Markdown", "YAML", "XML", "HTML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\pakistan.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 1, 50
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\panama.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 1, 43
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\paraguay.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\peru.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\philippines.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 1, 1, 52
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\portugal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\puerto-rico.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\republic-of-macedonia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 1, 49
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\republic-of-poland.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\romania.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 1, 43
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\russia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\serbia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 1, 1, 56
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\singapore.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 1, 53
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\slovakia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 1, 51
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\slovenia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 1, 42
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\south-africa.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\south-korea.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 1, 58
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\spain.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 1, 42
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\sri-lanka.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 1, 49
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\sweden.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 1, 46
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\switzerland.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 1, 39
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\taiwan.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\thailand.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 1, 43
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\tunisia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\turkey.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 1, 44
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\ukraine.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\united-arab-emirates.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\united-kingdom.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 1, 62
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\united-states-of-america.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 1, 54
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\united-states.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 1, 54
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\uruguay.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 1, 1, 52
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\venezuela.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 1, 58
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\vietnam.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 1, 39
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\icons\github.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\icons\google-tag-manager.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 1, 19
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\icons\google_analytics.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\illustrations\404.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 1, 1, 255
