"filename", "language", "Python", "XML", "QSS", "Markdown", "HTML", "SQL", "JSON", "CSV", "C++", "comment", "blank", "total"
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_shorttermliabilitiesedit.py", "Python", 181, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42, 233
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_splash.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 111
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_taxsettingsui.py", "Python", 930, 0, 0, 0, 0, 0, 0, 0, 0, 34, 48, 1012
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_uom.py", "Python", 128, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 164
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_update.py", "Python", 822, 0, 0, 0, 0, 0, 0, 0, 0, 30, 74, 926
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_user_managment.py", "Python", 646, 0, 0, 0, 0, 0, 0, 0, 0, 10, 44, 700
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_variableexpenseadd.py", "Python", 101, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 120
"f:\pr\yobi-desktop\Single_User\modules\frontend\ui_variableexpenseedit.py", "Python", 181, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42, 233
"f:\pr\yobi-desktop\Single_User\modules\hrms.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"f:\pr\yobi-desktop\Single_User\modules\imageconversion.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 85
"f:\pr\yobi-desktop\Single_User\modules\ledger_btns.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 58
"f:\pr\yobi-desktop\Single_User\modules\orders_function.py", "Python", 616, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80, 705
